name,value,unit
H,110.5,mm
W,91.9,mm
Zc,55.25,mm
act_h,84.8,mm
act_off_x,3.2,mm
act_off_z,0,mm
act_w,63.6,mm
adapt_clear,10.85,mm
adapt_cx,-31.45,mm
adapt_cz,81.75,mm
adapt_env,5,mm
adapt_fit,1,mm
adapt_foul,18.75,mm
adapt_gap,2,mm
adapt_h,32,mm
adapt_hole,2.2,mm
adapt_inset,2,mm
adapt_t,1.6,mm
adapt_w,18,mm
adapt_x0,-40.45,mm
adapt_x1,-22.45,mm
adapt_z0,65.75,mm
adapt_z1,97.75,mm
bare_panel,1,mm
bat_clr,0.8,mm
bat_cx,14.35,mm
bat_cz,42.55,mm
bat_fence,1,mm
bat_h,49,mm
bat_t,6.9,mm
bat_w,44,mm
bat_x0,-7.65,mm
bez_thick,9.4,mm
bez_thin,3,mm
body_d,23.6,mm
boss_z0,9.5,mm
boss_z1,65.3,mm
bt_h,110.5,mm
btn_d,4.2,mm
btn_n,0,mm
btn_sp,12,mm
carrier_back,20.1,mm
carrier_cx,-26.45,mm
carrier_cz,49.5,mm
carrier_face,18.5,mm
carrier_fit,1,mm
carrier_h,70,mm
carrier_hole,2,mm
carrier_hx,26,mm
carrier_hz,66,mm
carrier_lift,2.5,mm
carrier_pad,4,mm
carrier_peg,0.15,mm
carrier_pin,2,mm
carrier_t,1.6,mm
carrier_w,30,mm
carrier_z0,14.5,mm
carrier_z1,84.5,mm
cav_cx,-1.65,mm
cav_h,92.5,mm
cav_r,1.5,mm
cav_rel,0,mm
cav_w,81.6,mm
cav_x0,-42.45,mm
cav_x1,39.15,mm
cav_z0,9,mm
cav_z1,101.5,mm
chf_bite,0.6,mm
chg_back,18.8,mm
chg_bore,5,mm
chg_boss_d,6.5,mm
chg_h,26.3,mm
chg_hx,25,mm
chg_hz,19.3,mm
chg_ins_d,2.9,mm
chg_ins_l,4,mm
chg_part,bq25185,
chg_skin,1.2,mm
chg_stand,3.8,mm
chg_t,7.2,mm
chg_w,32,mm
chg_x,23.15,mm
chg_x_c,22.15,mm
chg_z,83,mm
col_gap,2,mm
conn_h,9,mm
conn_l,7,mm
conn_w,20,mm
conn_x,-3.2,mm
conn_z,10.75,mm
corner_r,5,mm
cov_in,23.6,mm
cover_t,1.4,mm
dep_ang,35,deg
depth,25,mm
drv_back,10,mm
drv_clr,0.4,mm
drv_cx,-26.45,mm
drv_cz,39.625,mm
drv_env,6,mm
drv_h,48.25,mm
drv_rail,3,mm
drv_room,17.45,mm
drv_stack,16,mm
drv_t,1.6,mm
drv_w,29.46,mm
drv_x0,-41.18,mm
drv_x1,-11.72,mm
drv_z0,15.5,mm
drv_z1,63.75,mm
ear_len,8,mm
ear_mouth,0.72,mm
ear_w,2,mm
ear_x0,7,mm
elec_back,22.6,mm
elec_clr,1,mm
end_wall,7.95,mm
finger_g,2.5,mm
flash_port,0,mm
flash_wall,1.5,mm
flash_x,-26.45,mm
flash_y0,10.6,mm
flash_y1,17.4,mm
foot_r,4,mm
foot_z,3,mm
footprint,34.1,mm
fpc_off,12.5,mm
fpc_w,16,mm
fpc_z,28,mm
front_chf,0.8,mm
front_t,1.4,mm
half_cav,43.8,mm
half_rib,45.95,mm
hdr_h,8.5,mm
heel_z,4,mm
ins_d,3.6,mm
ins_l,4,mm
insert_fit,1,mm
lean,22.313,deg
ledge_end,-0.5,mm
leg_len,55,mm
leg_t,4,mm
leg_tf,1,mm
leg_w,13,mm
lgt_gain,6.2762,mm
lgt_w,73.6,mm
lgt_y0,4.65,mm
mag_arm,55.2,mm
mag_bd,11.2,mm
mag_bore,8.2,mm
mag_boss,1.8,mm
mag_clr,0.2,mm
mag_d,8,mm
mag_dep,2.2,mm
mag_fit,1,mm
mag_floor,2,mm
mag_front,20.8,mm
mag_sink,0.2,mm
mag_t,2,mm
mag_wall,1.5,mm
mag_x,27.6,mm
mag_y0,22.8,mm
mag_z0,83,mm
mag_z1,92.1,mm
mod_back,2.65,mm
mod_clr,0.5,mm
mod_header,0,mm
pad_h,3.5,mm
pad_w0,26,mm
pad_w1,20,mm
pad_x0,-3.2,mm
pad_x1,-11,mm
pad_z0,11.75,mm
pad_z1,98.75,mm
pan_clr_h,0.75,mm
pan_clr_w,0.75,mm
pan_h,90,mm
pan_off_z,0,mm
pan_px,-3.2,mm
pan_r,0.5,mm
pan_rel,1.4,mm
pan_t,1.05,mm
pan_w,76,mm
pcb_face_y,2.65,mm
pcb_h,103,mm
pcb_px,-3.2,mm
pcb_t,1.6,mm
pcb_w,78.5,mm
perf_cx,-26.5,mm
perf_cz,82.625,mm
perf_fit,0,mm
perf_h,10.16,mm
perf_t,1.6,mm
perf_w,27.9,mm
pin_d,2,mm
pin_fit,0.1,mm
pin_len,18,mm
piv_h,2.5,mm
piv_y,23,mm
piv_z,58,mm
port_h,3.7,mm
port_snap,1,mm
port_w,9.5,mm
post_s,0,mm
post_y0,3.45,mm
proto_back,18.8,mm
proto_cx,22.15,mm
proto_cz,83,mm
proto_face,17.2,mm
proto_h,50.8,mm
proto_hole_sp,35.6,mm
proto_t,1.6,mm
proto_w,43.2,mm
proto_x0,6.15,mm
proto_x1,38.15,mm
proto_z0,69.85,mm
proto_z1,96.15,mm
py_edge,23,mm
rear_chf,2,mm
rec_back,18.7,mm
rec_clr,0.5,mm
rec_dep,4.5,mm
rec_floor,1.8,mm
rec_shl,1.4,mm
rec_shl_y,23.6,mm
rec_top,63.5,mm
rec_w,18,mm
rec_wall,1.5,mm
rec_y0,20.5,mm
rec_z0,2.5,mm
reg_ext_z0,1.9,mm
reg_fit,0.15,mm
reg_seal,1.15,mm
reg_step,1,mm
rib_clr,3,mm
rib_cz,65.25,mm
rib_dep,3,mm
rib_far,10.5,mm
rib_gap,0.25,mm
rib_inset,3,mm
rib_leg3,10,mm
rib_off,30.5,mm
rib_pad,7,mm
rib_reach,12,mm
rib_t,2.5,mm
rib_tail,18,mm
rib_w,49,mm
scr_csk,1.05,mm
scr_cx,40.45,mm
scr_cz,5.5,mm
scr_free,2.9,mm
scr_head,5,mm
scr_pilot,2.1,mm
scr_wall,9,mm
scr_x,41.55,mm
scr_z0,14,mm
scr_z1,55.25,mm
scr_z2,96.5,mm
shl_z0,11.3,mm
side_wall,3,mm
snap_c,0.15,mm
snap_ch,0.25,mm
snap_d,10,mm
snap_h,4.5,mm
snap_w,14,mm
stand_ok,1,mm
stand_reg_w,21,mm
tap_z,18.8,mm
tape_at,46.25,mm
tape_dep,0.3,mm
tape_len,40,mm
tape_pad,1,mm
tape_r,0,mm
tape_reach,5,mm
ucb_l,13,mm
ucb_t,1.6,mm
ucb_w,13,mm
ucb_x,-5,mm
ucb_z,92,mm
usb_w,13,mm
wall,2.2,mm
wall_rib,1,mm
white_show_long,1.3,mm
white_show_short,0.7,mm
win_chf,0.9,mm
win_h,87.4,mm
win_w,65,mm
